X,Y,FID,PARCELID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,TYPE,POOL,BOATRAMPID,NPSSITE_ID,ST_PARK_ID,OWNER,OPERATING,OP_CLASS,WEB_LINK,FSOURCE,DATASOURCE,LAT_DD,LONG_DD,MGRS,GOOGLEMAP,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID
-82.7282354725262,28.0240665696142,1327,162829000002200400,COUNTRYSIDE COMMUNITY PARK,2640 SABAL SPRINGS DR,CLEARWATER,33761,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,28.02407358,-82.72824193,17RLM3009801073,https://www.google.com/maps/place/17RLM3009801073,2751,26.841,COUNTRYSIDE COMMUNITY PARK,V,2015/04/27 00:00:00+00,2019/05/29 00:00:00+00,1343
-82.8361740374419,27.9412070231746,1331,152919000004300100,SAND KEY BAYSIDE PARK SOUTH,GULF BLVD,CLEARWATER,33767,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.94121428,-82.83618081,17RLL1934792047,https://www.google.com/maps/place/17RLL1934792047,2770,3.582,SAND KEY BAYSIDE PARK SOUTH,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,1347
-82.7767617097987,27.8633922844726,3362,153027000001100100,CROSS BAYOU LITTLE LEAGUE PARK,10150 98TH ST,SEMINOLE,33777,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,PINELLAS COUNTY,COUNTY,PUBLIC, ,GEOPLAN,FDEP WEBSITE,27.86339928,-82.77676857,17RLL2506883338,https://www.google.com/maps/place/17RLL2506883338,7060,36.81,CROSS BAYOU LITTLE LEAGUE PARK,V,2014/01/09 00:00:00+00,2019/05/29 00:00:00+00,3406
-82.7910958533697,27.9415340425529,3719,152922229320000030,BELMONT PARK,S MARTIN LUTHER KING JR AVE & HOWARD ST,CLEARWATER,33756,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.94154119,-82.79110257,17RLL2378392017,https://www.google.com/maps/place/17RLL2378392017,2727,2.799,BELMONT PARK,V,2015/04/27 00:00:00+00,2019/05/29 00:00:00+00,3767
-82.7102322012561,28.033112175505,3720,162821000003200100,COUNTRYSIDE SPORTS COMPLEX,MCMULLEN BOOTH RD,CLEARWATER,33761,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,28.03311913,-82.71023863,17RLM3188202051,https://www.google.com/maps/place/17RLM3188202051,2728,13.13,COUNTRYSIDE SPORTS COMPLEX,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3768
-82.7410222287329,27.9887492749567,3727,162906876650000030,SUNSET POINT ROAD PLAYFIELD,ASBURY DR,CLEARWATER,33765,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.98875636,-82.74102879,17RLL2878597178,https://www.google.com/maps/place/17RLL2878597178,2735,3.392,SUNSET POINT ROAD PLAYFIELD,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3775
-82.7222464112382,27.9687137586454,3734,162908000003400400,EDDIE C MOORE RECREATION COMPLEX - FIELDS 8-9,2780 DREW ST,CLEARWATER,33759,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.96872078,-82.72225301,17RLL3060094932,https://www.google.com/maps/place/17RLL3060094932,2746,5.001,EDDIE C MOORE RECREATION COMPLEX - FIELDS 8-9,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3782
-82.7130801591685,28.0234891134061,3740,162828000002200100,COUNTRYSIDE HIGH SCHOOL,3000 SR 580,CLEARWATER,33761,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,28.0234961,-82.71308662,17RLM3158700988,https://www.google.com/maps/place/17RLM3158700988,2753,2.887,COUNTRYSIDE HIGH SCHOOL,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3788
-82.7578061546409,27.9713603343271,3741,152912558360010007,MARYMONT PARK,1900 GILBERT ST,CLEARWATER,33765,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.97136744,-82.75781277,17RLL2710695275,https://www.google.com/maps/place/17RLL2710695275,2755,3.676,MARYMONT PARK,V,2015/04/27 00:00:00+00,2019/05/29 00:00:00+00,3789
-82.7151991514878,27.9698612963791,3748,162908000004400100,EDDIE C MOORE RECREATION COMPLEX - FIELDS 5-7,2780 DREW ST,CLEARWATER,33759,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.9698683,-82.71520575,17RLL3129695049,https://www.google.com/maps/place/17RLL3129695049,2764,41.913,EDDIE C MOORE RECREATION COMPLEX - FIELDS 5-7,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3796
-82.7110978584684,27.9693482792988,3756,162909000003300300,EDDIE C MOORE RECREATION COMPLEX - FIELDS 1-4,3050 DREW ST,CLEARWATER,33759,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.96935528,-82.71110445,17RLL3169894987,https://www.google.com/maps/place/17RLL3169894987,2774,26.793,EDDIE C MOORE RECREATION COMPLEX - FIELDS 1-4,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3804
-82.7860308730668,27.9801697453706,3763,152910000001200200,PHILLIP JONES FIELD,RUSSELL ST,CLEARWATER,33755,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.98017694,-82.78603751,17RLL2434496291,https://www.google.com/maps/place/17RLL2434496291,2782,3.909,PHILLIP JONES FIELD,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3812
-82.792515943843,27.9744978980422,3766,152910691380010010,N GREENWOOD RECREATION AND AQUATIC COMPLEX,900 N MARTIN LUTHER KING JR AVE,CLEARWATER,33755,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,1, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.9745051,-82.7925226,17RLL2369795672,https://www.google.com/maps/place/17RLL2369795672,2787,5.914,N GREENWOOD RECREATION AND AQUATIC COMPLEX,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3815
-82.8031711731844,27.9648877791131,3771,152916203580010040,BAYFRONT TENNIS COMPLEX,112 S OSCEOLA AVE,CLEARWATER,33756,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.96489499,-82.80317786,17RLL2263394623,https://www.google.com/maps/place/17RLL2263394623,2794,4.763,BAYFRONT TENNIS COMPLEX,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3820
-82.7535796381676,27.9918120727895,3774,152901000001300100,FRANK TACK PARK,1967 N HERCULES AVE,CLEARWATER,33763,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.99181919,-82.7535862,17RLL2755597535,https://www.google.com/maps/place/17RLL2755597535,2798,16.87,FRANK TACK PARK,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3823
-82.735917937392,27.9699663196925,3781,162907000004300100,JOE DIMAGGIO FIELDS,OLD COACHMAN RD & DREW ST,CLEARWATER,33765,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.96997337,-82.73592454,17RLL2925795090,https://www.google.com/maps/place/17RLL2925795090,2808,32.318,JOE DIMAGGIO FIELDS,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,3830
-82.7281273863351,27.964497187947,3788,162917000002200300,US-19 SOCCER PRACTICE FIELDS,SR 55,CLEARWATER,33759,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.96450421,-82.728134,17RLL3001594473,https://www.google.com/maps/place/17RLL3001594473,2816,4.049,US-19 SOCCER PRACTICE FIELDS,V,2015/04/27 00:00:00+00,2019/05/29 00:00:00+00,3837
-82.7660013857786,27.9733488441556,3789,152911000004100200,SID LICKTON / FRED COURNOYER RECREATION,714 N SATURN AVE,CLEARWATER,33755,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.97335597,-82.76600801,17RLL2630395507,https://www.google.com/maps/place/17RLL2630395507,2817,16.844,SID LICKTON / FRED COURNOYER RECREATION,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3838
-82.7905224601337,27.9744841767646,3790,152910597960050001,JACK RUSSELL STADIUM,905 N MARTIN LUTHER KING JR AVE,CLEARWATER,33755,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.97449137,-82.79052911,17RLL2389395668,https://www.google.com/maps/place/17RLL2389395668,2818,5.272,JACK RUSSELL STADIUM,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3839
-82.7373056455094,27.9686409515531,3792,162907000004300000,JOE DIMAGGIO GYM,DREW ST,CLEARWATER,33765,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF CLEARWATER,MUNICIPALITY,PUBLIC, ,CITY OF CLEARWATER,CITY OF CLEARWATER,27.968648,-82.73731225,17RLL2911994945,https://www.google.com/maps/place/17RLL2911994945,2821,5.416,JOE DIMAGGIO GYM,V,2012/10/23 00:00:00+00,2019/05/29 00:00:00+00,3841
-82.7884441877473,27.9137573148413,4850,152934973980090090,BAYHEAD COMPLEX,375 SEMINOLE BLVD,LARGO,33770,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF LARGO,MUNICIPALITY,PUBLIC, ,GEOPLAN,GOOGLE MAPS,27.91376441,-82.78845096,17RLL2399988936,https://www.google.com/maps/place/17RLL2399988936,4916,3.843,BAYHEAD COMPLEX,V,2013/05/22 00:00:00+00,2019/05/29 00:00:00+00,4909
-82.7696653155409,27.9237833560761,4851,152935659010000040,LARGO SPORTS COMPLEX,MCMULLEN RD & LAKE AVE NE,LARGO,33779,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF LARGO,MUNICIPALITY,PUBLIC, ,GEOPLAN,PAR_PARKS,27.92379042,-82.76967205,17RLL2586390020,https://www.google.com/maps/place/17RLL2586390020,5013,13.166,LARGO SPORTS COMPLEX,V,2015/06/09 00:00:00+00,2019/05/29 00:00:00+00,4910
-82.716981501399,27.8438869918442,6034,163029583740000001,PINELLAS CITY PARK,6051 78TH AVE N,PINELLAS PARK,33781,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF PINELLAS PARK,MUNICIPALITY,PUBLIC, ,GEOPLAN,PINELLAS COUNTY,27.84389383,-82.71698836,17RLL3092481093,https://www.google.com/maps/place/17RLL3092481093,4426,9.883,PINELLAS CITY PARK,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,6109
-82.8348276762355,27.835630151156,6068,153031000001100210,REDINGTON SHORES CITY PARK,GULF BLVD,ST PETERSBURG,33708,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,TOWN OF REDINGTON SHORES,MUNICIPALITY,PUBLIC, ,GEOPLAN,PINELLAS COUNTY,27.83563723,-82.83483464,17RLL1930480347,https://www.google.com/maps/place/17RLL1930480347,4421,0.234,REDINGTON SHORES CITY PARK,V,2009/03/26 00:00:00+00,2019/05/29 00:00:00+00,6143
-82.697073127926,27.9957827102699,6101,162904518040000010,DAISY DOUGLAS PARK,200 9TH AVE N,SAFETY HARBOR,34695,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF SAFETY HARBOR,MUNICIPALITY,PUBLIC, ,GEOPLAN,PINELLAS COUNTY,27.99578971,-82.69707966,17RLL3311997896,https://www.google.com/maps/place/17RLL3311997896,4431,1.282,DAISY DOUGLAS PARK,V,2009/03/26 00:00:00+00,2019/05/29 00:00:00+00,6176
-82.6703088280396,27.7592138097414,6207,163126975820010010,WILDWOOD PARK (JENNIE HALL),2650 10TH AVE S,ST PETERSBURG,33712,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,1, ,12-00155, ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.75922044,-82.6703158,17RLL3539371648,https://www.google.com/maps/place/17RLL3539371648,3000,11.751,WILDWOOD PARK (JENNIE HALL),V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,6283
-82.7144027149062,27.772618398042,6211,163120000001400100,BEAR CREEK PARK,1ST AVE N & 60TH ST N,ST PETERSBURG,33710,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.77262514,-82.71440971,17RLL3106873193,https://www.google.com/maps/place/17RLL3106873193,3004,11.058,BEAR CREEK PARK,V,2015/06/09 00:00:00+00,2019/05/29 00:00:00+00,6287
-82.6283940993285,27.7792921552686,6230,173117942400010010,BAYWOOD PARK (INTERIOR),501 5TH AVE NE,ST PETERSBURG,33701,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.77929872,-82.62840098,17RLL3955473817,https://www.google.com/maps/place/17RLL3955473817,3025,1.991,BAYWOOD PARK (INTERIOR),V,2012/10/25 00:00:00+00,2019/05/29 00:00:00+00,6307
-82.6569985800118,27.7861888507808,6266,163113000002400200,WOODLAWN PARK,1450 16TH ST N,ST PETERSBURG,33704,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.78619549,-82.65700548,17RLL3674674619,https://www.google.com/maps/place/17RLL3674674619,3064,31.064,WOODLAWN PARK,V,2012/10/25 00:00:00+00,2019/05/29 00:00:00+00,6343
-82.649924303755,27.7535219245913,6272,163125259940010010,ENOCH DAVIS PARK,1059 18TH AVE S,ST PETERSBURG,33705,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.7535285,-82.64993125,17RLL3739470990,https://www.google.com/maps/place/17RLL3739470990,3070,2.744,ENOCH DAVIS PARK,V,2012/10/25 00:00:00+00,2019/05/29 00:00:00+00,6349
-82.6759230875355,27.7221286944686,6279,163202560610010010,MAXIMO COMMUNITY PLAYGROUND,4801 31ST ST S,ST PETERSBURG,33712,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,GEOPLAN,FDOR PARCELS,27.72213525,-82.6759301,17RLL3478467547,https://www.google.com/maps/place/17RLL3478467547,4384,17.234,MAXIMO COMMUNITY PLAYGROUND,V,2009/03/26 00:00:00+00,2019/05/29 00:00:00+00,6356
-82.6405511780768,27.7503149604507,6287,173130000003400000,BARTLETT PARK,2000 7TH ST S,ST PETERSBURG,33705,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, ,12-00507, ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,GEOPLAN,FDEP WEBSITE,27.75032151,-82.64055812,17RLL3831370623,https://www.google.com/maps/place/17RLL3831370623,7087,34.659,BARTLETT PARK,V,2016/06/17 00:00:00+00,2019/05/29 00:00:00+00,6364
-82.6245466923689,27.8229668586565,6423,173032733230020010,JACK PURYEAR PARK,5701 LEE ST NE,ST PETERSBURG,33702,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.82297347,-82.62455349,17RLL3999778651,https://www.google.com/maps/place/17RLL3999778651,2975,57.002,JACK PURYEAR PARK,V,2015/06/09 00:00:00+00,2019/05/29 00:00:00+00,6503
-82.6236938254524,27.8294489353228,6432,173032548530010010,NORTHEAST PARK,875 62ND AVE NE,ST PETERSBURG,33702,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, , , ,CITY OF ST PETERSBURG,MUNICIPALITY,PUBLIC, ,CITY OF SAINT PETERSBURG,CITY OF ST PETERSBURG,27.82945556,-82.62370062,17RLL4009179368,https://www.google.com/maps/place/17RLL4009179368,2990,9.409,NORTHEAST PARK,V,2015/06/09 00:00:00+00,2019/05/29 00:00:00+00,6512
-82.7332927270706,28.1482057096298,6756,152712899821220000,TARPON SPORTS COMPLEX AND DISCOVERY PLAYGROUND,150 N JASMINE AVE,TARPON SPRINGS,34689,PINELLAS,NEIGHBORHOOD PARK / ATHLETIC,0, ,12-00377, ,CITY OF TARPON SPRINGS,MUNICIPALITY,PUBLIC, ,GEOPLAN,FDEP WEBSITE,28.14821238,-82.73329878,17RLM2979714836,https://www.google.com/maps/place/17RLM2979714836,7047,22.209,TARPON SPORTS COMPLEX AND DISCOVERY PLAYGROUND,V,2014/01/08 00:00:00+00,2019/05/29 00:00:00+00,6841
